June 19, 2014   16:35:21
Cyclic Voltammetry
File: c:\documents and settings\nbt\desktop\cv data\lsh\2014\0619\cv010_pre.txt
Data Source:  Experiment
Instrument Model:  CHI627B
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 5
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Potential/V, Current/A, Charge/C

Segment 1:
-0.001, 1.369e-7, 1.369e-8
-0.002, 3.122e-8, 1.681e-8
-0.003, -3.744e-8, 1.307e-8
-0.004, -9.136e-8, 3.929e-9
-0.005, -1.315e-7, -9.224e-9
-0.006, -1.477e-7, -2.400e-8
-0.007, -1.719e-7, -4.118e-8
-0.008, -1.919e-7, -6.038e-8
-0.009, -1.955e-7, -7.993e-8
-0.010, -2.092e-7, -1.008e-7
-0.011, -2.295e-7, -1.238e-7
-0.012, -2.410e-7, -1.479e-7
-0.013, -2.434e-7, -1.722e-7
-0.014, -2.529e-7, -1.975e-7
-0.015, -2.645e-7, -2.240e-7
-0.016, -2.783e-7, -2.518e-7
-0.017, -2.864e-7, -2.805e-7
-0.018, -2.900e-7, -3.095e-7
-0.019, -2.907e-7, -3.385e-7
-0.020, -2.916e-7, -3.677e-7
-0.021, -2.933e-7, -3.970e-7
-0.022, -2.991e-7, -4.269e-7
-0.023, -3.029e-7, -4.572e-7
-0.024, -3.139e-7, -4.886e-7
-0.025, -3.240e-7, -5.210e-7
-0.026, -3.283e-7, -5.538e-7
-0.027, -3.369e-7, -5.875e-7
-0.028, -3.391e-7, -6.214e-7
-0.029, -3.397e-7, -6.554e-7
-0.030, -3.403e-7, -6.894e-7
-0.031, -3.404e-7, -7.235e-7
-0.032, -3.414e-7, -7.576e-7
-0.033, -3.426e-7, -7.919e-7
-0.034, -3.444e-7, -8.263e-7
-0.035, -3.464e-7, -8.610e-7
-0.036, -3.506e-7, -8.960e-7
-0.037, -3.524e-7, -9.313e-7
-0.038, -3.601e-7, -9.673e-7
-0.039, -3.612e-7, -1.003e-6
-0.040, -3.658e-7, -1.040e-6
-0.041, -3.709e-7, -1.077e-6
-0.042, -3.737e-7, -1.114e-6
-0.043, -3.792e-7, -1.152e-6
-0.044, -3.828e-7, -1.191e-6
-0.045, -3.839e-7, -1.229e-6
-0.046, -3.864e-7, -1.268e-6
-0.047, -3.873e-7, -1.306e-6
-0.048, -3.878e-7, -1.345e-6
-0.049, -3.885e-7, -1.384e-6
-0.050, -3.888e-7, -1.423e-6
-0.051, -3.894e-7, -1.462e-6
-0.052, -3.900e-7, -1.501e-6
-0.053, -3.902e-7, -1.540e-6
-0.054, -3.908e-7, -1.579e-6
-0.055, -3.911e-7, -1.618e-6
-0.056, -3.929e-7, -1.657e-6
-0.057, -3.970e-7, -1.697e-6
-0.058, -3.975e-7, -1.737e-6
-0.059, -4.023e-7, -1.777e-6
-0.060, -4.019e-7, -1.817e-6
-0.061, -4.037e-7, -1.858e-6
-0.062, -4.057e-7, -1.898e-6
-0.063, -4.099e-7, -1.939e-6
-0.064, -4.172e-7, -1.981e-6
-0.065, -4.222e-7, -2.023e-6
-0.066, -4.217e-7, -2.065e-6
-0.067, -4.237e-7, -2.108e-6
-0.068, -4.260e-7, -2.150e-6
-0.069, -4.283e-7, -2.193e-6
-0.070, -4.291e-7, -2.236e-6
-0.071, -4.278e-7, -2.279e-6
-0.072, -4.316e-7, -2.322e-6
-0.073, -4.344e-7, -2.365e-6
-0.074, -4.354e-7, -2.409e-6
-0.075, -4.359e-7, -2.452e-6
-0.076, -4.364e-7, -2.496e-6
-0.077, -4.359e-7, -2.540e-6
-0.078, -4.369e-7, -2.583e-6
-0.079, -4.370e-7, -2.627e-6
-0.080, -4.372e-7, -2.671e-6
-0.081, -4.378e-7, -2.715e-6
-0.082, -4.384e-7, -2.758e-6
-0.083, -4.388e-7, -2.802e-6
-0.084, -4.386e-7, -2.846e-6
-0.085, -4.386e-7, -2.890e-6
-0.086, -4.389e-7, -2.934e-6
-0.087, -4.397e-7, -2.978e-6
-0.088, -4.402e-7, -3.022e-6
-0.089, -4.405e-7, -3.066e-6
-0.090, -4.406e-7, -3.110e-6
-0.091, -4.416e-7, -3.154e-6
-0.092, -4.425e-7, -3.198e-6
-0.093, -4.433e-7, -3.243e-6
-0.094, -4.443e-7, -3.287e-6
-0.095, -4.436e-7, -3.332e-6
-0.096, -4.451e-7, -3.376e-6
-0.097, -4.463e-7, -3.421e-6
-0.098, -4.474e-7, -3.465e-6
-0.099, -4.512e-7, -3.511e-6
-0.100, -4.511e-7, -3.556e-6
-0.101, -4.537e-7, -3.601e-6
-0.102, -4.590e-7, -3.647e-6
-0.103, -4.718e-7, -3.694e-6
-0.104, -4.680e-7, -3.741e-6
-0.105, -4.671e-7, -3.788e-6
-0.106, -4.639e-7, -3.834e-6
-0.107, -4.639e-7, -3.880e-6
-0.108, -4.681e-7, -3.927e-6
-0.109, -4.701e-7, -3.974e-6
-0.110, -4.721e-7, -4.021e-6
-0.111, -4.726e-7, -4.069e-6
-0.112, -4.749e-7, -4.116e-6
-0.113, -4.753e-7, -4.164e-6
-0.114, -4.746e-7, -4.211e-6
-0.115, -4.751e-7, -4.259e-6
-0.116, -4.762e-7, -4.306e-6
-0.117, -4.740e-7, -4.354e-6
-0.118, -4.768e-7, -4.401e-6
-0.119, -4.775e-7, -4.449e-6
-0.120, -4.804e-7, -4.497e-6
-0.121, -4.817e-7, -4.545e-6
-0.122, -4.836e-7, -4.594e-6
-0.123, -4.845e-7, -4.642e-6
-0.124, -4.855e-7, -4.691e-6
-0.125, -4.859e-7, -4.739e-6
-0.126, -4.865e-7, -4.788e-6
-0.127, -4.863e-7, -4.837e-6
-0.128, -4.862e-7, -4.885e-6
-0.129, -4.863e-7, -4.934e-6
-0.130, -4.864e-7, -4.982e-6
-0.131, -4.865e-7, -5.031e-6
-0.132, -4.865e-7, -5.080e-6
-0.133, -4.869e-7, -5.128e-6
-0.134, -4.867e-7, -5.177e-6
-0.135, -4.866e-7, -5.226e-6
-0.136, -4.865e-7, -5.274e-6
-0.137, -4.870e-7, -5.323e-6
-0.138, -4.871e-7, -5.372e-6
-0.139, -4.875e-7, -5.421e-6
-0.140, -4.875e-7, -5.469e-6
-0.141, -4.881e-7, -5.518e-6
-0.142, -4.885e-7, -5.567e-6
-0.143, -4.889e-7, -5.616e-6
-0.144, -4.892e-7, -5.665e-6
-0.145, -4.903e-7, -5.714e-6
-0.146, -4.906e-7, -5.763e-6
-0.147, -4.923e-7, -5.812e-6
-0.148, -4.931e-7, -5.861e-6
-0.149, -4.921e-7, -5.911e-6
-0.150, -4.936e-7, -5.960e-6
-0.151, -4.928e-7, -6.009e-6
-0.152, -4.932e-7, -6.059e-6
-0.153, -4.955e-7, -6.108e-6
-0.154, -5.000e-7, -6.158e-6
-0.155, -5.010e-7, -6.208e-6
-0.156, -5.050e-7, -6.259e-6
-0.157, -5.084e-7, -6.310e-6
-0.158, -5.092e-7, -6.361e-6
-0.159, -5.104e-7, -6.412e-6
-0.160, -5.103e-7, -6.463e-6
-0.161, -5.142e-7, -6.514e-6
-0.162, -5.134e-7, -6.565e-6
-0.163, -5.170e-7, -6.617e-6
-0.164, -5.151e-7, -6.669e-6
-0.165, -5.151e-7, -6.720e-6
-0.166, -5.206e-7, -6.772e-6
-0.167, -5.207e-7, -6.824e-6
-0.168, -5.273e-7, -6.877e-6
-0.169, -5.280e-7, -6.930e-6
-0.170, -5.302e-7, -6.983e-6
-0.171, -5.314e-7, -7.036e-6
-0.172, -5.315e-7, -7.089e-6
-0.173, -5.292e-7, -7.142e-6
-0.174, -5.319e-7, -7.195e-6
-0.175, -5.328e-7, -7.248e-6
-0.176, -5.338e-7, -7.302e-6
-0.177, -5.344e-7, -7.355e-6
-0.178, -5.346e-7, -7.409e-6
-0.179, -5.348e-7, -7.462e-6
-0.180, -5.344e-7, -7.516e-6
-0.181, -5.350e-7, -7.569e-6
-0.182, -5.357e-7, -7.623e-6
-0.183, -5.356e-7, -7.676e-6
-0.184, -5.357e-7, -7.730e-6
-0.185, -5.361e-7, -7.783e-6
-0.186, -5.361e-7, -7.837e-6
-0.187, -5.366e-7, -7.891e-6
-0.188, -5.372e-7, -7.944e-6
-0.189, -5.377e-7, -7.998e-6
-0.190, -5.385e-7, -8.052e-6
-0.191, -5.397e-7, -8.106e-6
-0.192, -5.412e-7, -8.160e-6
-0.193, -5.419e-7, -8.214e-6
-0.194, -5.428e-7, -8.269e-6
-0.195, -5.453e-7, -8.323e-6
-0.196, -5.443e-7, -8.378e-6
-0.197, -5.474e-7, -8.432e-6
-0.198, -5.527e-7, -8.488e-6
-0.199, -5.526e-7, -8.543e-6
-0.200, -5.561e-7, -8.598e-6
-0.201, -5.580e-7, -8.654e-6
-0.202, -5.635e-7, -8.711e-6
-0.203, -5.619e-7, -8.767e-6
-0.204, -5.648e-7, -8.823e-6
-0.205, -5.681e-7, -8.880e-6
-0.206, -5.720e-7, -8.937e-6
-0.207, -5.722e-7, -8.995e-6
-0.208, -5.764e-7, -9.052e-6
-0.209, -5.791e-7, -9.110e-6
-0.210, -5.800e-7, -9.168e-6
-0.211, -5.817e-7, -9.226e-6
-0.212, -5.806e-7, -9.284e-6
-0.213, -5.833e-7, -9.343e-6
-0.214, -5.835e-7, -9.401e-6
-0.215, -5.839e-7, -9.459e-6
-0.216, -5.840e-7, -9.518e-6
-0.217, -5.845e-7, -9.576e-6
-0.218, -5.849e-7, -9.635e-6
